variant,label,mode,K,requested_checkpoint,checkpoint_unit,effective_batch_size,channel_row_kl_median,channel_row_kl_q10,channel_row_kl_q90,channel_row_kl_last_median,channel_row_kl_last_q10,channel_row_kl_last_q90,critic_mse_mod_gauge_median,critic_mse_mod_gauge_q10,critic_mse_mod_gauge_q90,critic_mse_mod_gauge_last_median,critic_mse_mod_gauge_last_q10,critic_mse_mod_gauge_last_q90
cosine,cosine decay,unmatched,1,180,steps,512,0.01285907485631917,0.011999487081285,0.013306235472379465,0.01285907485631917,0.011999487081285,0.013306235472379465,0.0637321910003068,0.046974558630202265,0.10451214495538702,0.0637321910003068,0.046974558630202265,0.10451214495538702
cosine,cosine decay,unmatched,1,300,steps,512,0.012277272744303253,0.011719049969426243,0.013688876169280778,0.012277272744303253,0.011719049969426243,0.013688876169280778,0.044359122225590346,0.03661361209442616,0.06848157077305563,0.044359122225590346,0.03661361209442616,0.06848157077305563
cosine,cosine decay,unmatched,1,500,steps,512,0.010451552549351647,0.009843385647871091,0.011022286016122932,0.010451552549351647,0.009843385647871091,0.011022286016122932,0.03389270192376264,0.029547669346527822,0.046812672145549,0.03389270192376264,0.029547669346527822,0.046812672145549
cosine,cosine decay,unmatched,1,750,steps,512,0.008391631233583545,0.007932915292957378,0.009052695168999248,0.008391631233583545,0.007932915292957378,0.009052695168999248,0.026126559532884272,0.022789304488799407,0.03488429560745253,0.026126559532884272,0.022789304488799407,0.03488429560745253
cosine,cosine decay,unmatched,1,1100,steps,512,0.004838811949556604,0.004526720318526729,0.005484406947993986,0.004838811949556604,0.004526720318526729,0.005484406947993986,0.015117271269128305,0.013284472394425423,0.024323692092332535,0.015117271269128305,0.013284472394425423,0.024323692092332535
cosine,cosine decay,unmatched,1,1450,steps,512,0.0024319150183880656,0.0021516853948214533,0.0028053103014630274,0.0024319150183880656,0.0021516853948214533,0.0028053103014630274,0.008378644597629655,0.006488028785228812,0.013707245758050407,0.008378644597629655,0.006488028785228812,0.013707245758050407
cosine,cosine decay,unmatched,1,1800,steps,512,0.0015451593105205773,0.001420888636153243,0.0018413712237774938,0.0015451593105205773,0.001420888636153243,0.0018413712237774938,0.006017949220733489,0.004627272622617866,0.011115652861592261,0.006017949220733489,0.004627272622617866,0.011115652861592261
cosine,cosine decay,unmatched,4,50,steps,512,0.025294824528209647,0.02235181349658587,0.029098665539777333,0.025294824528209647,0.02235181349658587,0.029098665539777333,0.17135215420396416,0.13949711192883413,0.29524757975774424,0.17135215420396416,0.13949711192883413,0.29524757975774424
cosine,cosine decay,unmatched,4,100,steps,512,0.010977226205529583,0.010361110918859157,0.011710988412806444,0.010977226205529583,0.010361110918859157,0.011710988412806444,0.08293933544533579,0.062234538937088996,0.15144058211798325,0.08293933544533579,0.062234538937088996,0.15144058211798325
cosine,cosine decay,unmatched,4,180,steps,512,0.009352874134084376,0.008362944284010415,0.010024982860583936,0.009352874134084376,0.008362944284010415,0.010024982860583936,0.04956005337056349,0.03601432194324458,0.08527142105342915,0.04956005337056349,0.03601432194324458,0.08527142105342915
cosine,cosine decay,unmatched,4,300,steps,512,0.009061484904095495,0.008282461346004183,0.00987210050224733,0.009061484904095495,0.008282461346004183,0.00987210050224733,0.03619991647611526,0.02857249073647677,0.05864550209494174,0.03619991647611526,0.02857249073647677,0.05864550209494174
cosine,cosine decay,unmatched,4,500,steps,512,0.0076200934024655085,0.006565327011484098,0.00851878805528824,0.0076200934024655085,0.006565327011484098,0.00851878805528824,0.026425214991619046,0.020176468510782402,0.037262789483192324,0.026425214991619046,0.020176468510782402,0.037262789483192324
cosine,cosine decay,unmatched,4,750,steps,512,0.006125449089102727,0.005950120400745153,0.006710327560554562,0.006125449089102727,0.005950120400745153,0.006710327560554562,0.021358177333931326,0.018869385505436573,0.02643504226629024,0.021358177333931326,0.018869385505436573,0.02643504226629024
cosine,cosine decay,unmatched,4,1100,steps,512,0.003593248107339073,0.0032234930474864406,0.0038381661302842843,0.003593248107339073,0.0032234930474864406,0.0038381661302842843,0.012043915240627156,0.010366939954417606,0.017244404476455207,0.012043915240627156,0.010366939954417606,0.017244404476455207
